"Store","Dept","Date","Temperature","Fuel_Price","CPI","Unemployment","IsHoliday","Weekly_Sales","Name"
2,1,"2010-02-05",40.19,2.572,210.7526053,8.324,FALSE,35034.06,"Candy and Tobacco"
2,2,"2010-02-05",40.19,2.572,210.7526053,8.324,FALSE,74661.16,"Health and Beauty Aids"
2,3,"2010-02-05",40.19,2.572,210.7526053,8.324,FALSE,16873.2,"Stationery"
2,1,"2010-02-12",38.49,2.548,210.8979935,8.324,TRUE,60483.7,"Candy and Tobacco"
2,2,"2010-02-12",38.49,2.548,210.8979935,8.324,TRUE,65487.46,"Health and Beauty Aids"
2,3,"2010-02-12",38.49,2.548,210.8979935,8.324,TRUE,13821.01,"Stationery"
2,1,"2010-02-19",39.69,2.514,210.9451605,8.324,FALSE,58221.52,"Candy and Tobacco"
2,2,"2010-02-19",39.69,2.514,210.9451605,8.324,FALSE,70853.58,"Health and Beauty Aids"
2,3,"2010-02-19",39.69,2.514,210.9451605,8.324,FALSE,14607.28,"Stationery"
2,1,"2010-02-26",46.1,2.561,210.9759573,8.324,FALSE,25962.32,"Candy and Tobacco"
2,2,"2010-02-26",46.1,2.561,210.9759573,8.324,FALSE,64963.9,"Health and Beauty Aids"
2,3,"2010-02-26",46.1,2.561,210.9759573,8.324,FALSE,15635.95,"Stationery"
2,1,"2010-03-05",47.17,2.625,211.0067542,8.324,FALSE,27372.05,"Candy and Tobacco"
2,2,"2010-03-05",47.17,2.625,211.0067542,8.324,FALSE,68428.64,"Health and Beauty Aids"
2,3,"2010-03-05",47.17,2.625,211.0067542,8.324,FALSE,14895.96,"Stationery"
2,1,"2010-03-12",57.56,2.667,211.037551,8.324,FALSE,28660.87,"Candy and Tobacco"
2,2,"2010-03-12",57.56,2.667,211.037551,8.324,FALSE,66622.03,"Health and Beauty Aids"
2,3,"2010-03-12",57.56,2.667,211.037551,8.324,FALSE,13061.56,"Stationery"
2,1,"2010-03-19",54.52,2.72,210.8733316,8.324,FALSE,28446.92,"Candy and Tobacco"
2,2,"2010-03-19",54.52,2.72,210.8733316,8.324,FALSE,64307.01,"Health and Beauty Aids"
2,3,"2010-03-19",54.52,2.72,210.8733316,8.324,FALSE,10394.28,"Stationery"
2,1,"2010-03-26",51.26,2.732,210.6766095,8.324,FALSE,32213.99,"Candy and Tobacco"
2,2,"2010-03-26",51.26,2.732,210.6766095,8.324,FALSE,59770.18,"Health and Beauty Aids"
2,3,"2010-03-26",51.26,2.732,210.6766095,8.324,FALSE,12406.44,"Stationery"
2,1,"2010-04-02",63.27,2.719,210.4798874,8.2,FALSE,82766.07,"Candy and Tobacco"
2,2,"2010-04-02",63.27,2.719,210.4798874,8.2,FALSE,68286.2,"Health and Beauty Aids"
2,3,"2010-04-02",63.27,2.719,210.4798874,8.2,FALSE,13404.23,"Stationery"
2,1,"2010-04-09",65.41,2.77,210.2831653,8.2,FALSE,66560,"Candy and Tobacco"
2,2,"2010-04-09",65.41,2.77,210.2831653,8.2,FALSE,64295.22,"Health and Beauty Aids"
2,3,"2010-04-09",65.41,2.77,210.2831653,8.2,FALSE,12873.09,"Stationery"
2,1,"2010-04-16",68.07,2.808,210.1495463,8.2,FALSE,21308.59,"Candy and Tobacco"
2,2,"2010-04-16",68.07,2.808,210.1495463,8.2,FALSE,65172.2,"Health and Beauty Aids"
2,3,"2010-04-16",68.07,2.808,210.1495463,8.2,FALSE,11547.5,"Stationery"
2,1,"2010-04-23",65.11,2.795,210.1000648,8.2,FALSE,22163.12,"Candy and Tobacco"
2,2,"2010-04-23",65.11,2.795,210.1000648,8.2,FALSE,66471.86,"Health and Beauty Aids"
2,3,"2010-04-23",65.11,2.795,210.1000648,8.2,FALSE,11862.26,"Stationery"
