"Store","Dept","Date","Temperature","Fuel_Price","CPI","Unemployment","IsHoliday","Weekly_Sales","Name"
1,1,"2010-02-05",42.31,2.572,211.0963582,8.106,FALSE,24924.5,"Candy and Tobacco"
1,2,"2010-02-05",42.31,2.572,211.0963582,8.106,FALSE,50605.27,"Health and Beauty Aids"
1,3,"2010-02-05",42.31,2.572,211.0963582,8.106,FALSE,13740.12,"Stationery"
1,1,"2010-02-12",38.51,2.548,211.2421698,8.106,TRUE,46039.49,"Candy and Tobacco"
1,2,"2010-02-12",38.51,2.548,211.2421698,8.106,TRUE,44682.74,"Health and Beauty Aids"
1,3,"2010-02-12",38.51,2.548,211.2421698,8.106,TRUE,10887.84,"Stationery"
1,1,"2010-02-19",39.93,2.514,211.2891429,8.106,FALSE,41595.55,"Candy and Tobacco"
1,2,"2010-02-19",39.93,2.514,211.2891429,8.106,FALSE,47928.89,"Health and Beauty Aids"
1,3,"2010-02-19",39.93,2.514,211.2891429,8.106,FALSE,11523.47,"Stationery"
1,1,"2010-02-26",46.63,2.561,211.3196429,8.106,FALSE,19403.54,"Candy and Tobacco"
1,2,"2010-02-26",46.63,2.561,211.3196429,8.106,FALSE,44292.87,"Health and Beauty Aids"
1,3,"2010-02-26",46.63,2.561,211.3196429,8.106,FALSE,11135.17,"Stationery"
1,1,"2010-03-05",46.5,2.625,211.3501429,8.106,FALSE,21827.9,"Candy and Tobacco"
1,2,"2010-03-05",46.5,2.625,211.3501429,8.106,FALSE,48397.98,"Health and Beauty Aids"
1,3,"2010-03-05",46.5,2.625,211.3501429,8.106,FALSE,12275.58,"Stationery"
1,1,"2010-03-12",57.79,2.667,211.3806429,8.106,FALSE,21043.39,"Candy and Tobacco"
1,2,"2010-03-12",57.79,2.667,211.3806429,8.106,FALSE,43751.94,"Health and Beauty Aids"
1,3,"2010-03-12",57.79,2.667,211.3806429,8.106,FALSE,10123.45,"Stationery"
1,1,"2010-03-19",54.58,2.72,211.215635,8.106,FALSE,22136.64,"Candy and Tobacco"
1,2,"2010-03-19",54.58,2.72,211.215635,8.106,FALSE,43615.49,"Health and Beauty Aids"
1,3,"2010-03-19",54.58,2.72,211.215635,8.106,FALSE,9001.37,"Stationery"
1,1,"2010-03-26",51.45,2.732,211.0180424,8.106,FALSE,26229.21,"Candy and Tobacco"
1,2,"2010-03-26",51.45,2.732,211.0180424,8.106,FALSE,41892.55,"Health and Beauty Aids"
1,3,"2010-03-26",51.45,2.732,211.0180424,8.106,FALSE,10366.85,"Stationery"
1,1,"2010-04-02",62.27,2.719,210.8204499,7.808,FALSE,57258.43,"Candy and Tobacco"
1,2,"2010-04-02",62.27,2.719,210.8204499,7.808,FALSE,47450.5,"Health and Beauty Aids"
1,3,"2010-04-02",62.27,2.719,210.8204499,7.808,FALSE,11157.08,"Stationery"
1,1,"2010-04-09",65.86,2.77,210.6228574,7.808,FALSE,42960.91,"Candy and Tobacco"
1,2,"2010-04-09",65.86,2.77,210.6228574,7.808,FALSE,46549.73,"Health and Beauty Aids"
1,3,"2010-04-09",65.86,2.77,210.6228574,7.808,FALSE,10179.29,"Stationery"
1,1,"2010-04-16",66.32,2.808,210.4887,7.808,FALSE,17596.96,"Candy and Tobacco"
1,2,"2010-04-16",66.32,2.808,210.4887,7.808,FALSE,45025.02,"Health and Beauty Aids"
1,3,"2010-04-16",66.32,2.808,210.4887,7.808,FALSE,9226.8,"Stationery"
1,1,"2010-04-23",64.84,2.795,210.4391228,7.808,FALSE,16145.35,"Candy and Tobacco"
1,2,"2010-04-23",64.84,2.795,210.4391228,7.808,FALSE,44418.11,"Health and Beauty Aids"
1,3,"2010-04-23",64.84,2.795,210.4391228,7.808,FALSE,8868.93,"Stationery"
1,1,"2010-04-30",67.41,2.78,210.3895456,7.808,FALSE,16555.11,"Candy and Tobacco"
1,2,"2010-04-30",67.41,2.78,210.3895456,7.808,FALSE,45971.3,"Health and Beauty Aids"
1,3,"2010-04-30",67.41,2.78,210.3895456,7.808,FALSE,9337.44,"Stationery"
1,1,"2010-05-07",72.55,2.835,210.3399684,7.808,FALSE,17413.94,"Candy and Tobacco"
1,2,"2010-05-07",72.55,2.835,210.3399684,7.808,FALSE,47903.01,"Health and Beauty Aids"
1,3,"2010-05-07",72.55,2.835,210.3399684,7.808,FALSE,9372.8,"Stationery"
1,1,"2010-05-14",74.78,2.854,210.3374261,7.808,FALSE,18926.74,"Candy and Tobacco"
1,2,"2010-05-14",74.78,2.854,210.3374261,7.808,FALSE,43675.61,"Health and Beauty Aids"
1,3,"2010-05-14",74.78,2.854,210.3374261,7.808,FALSE,7919.86,"Stationery"
1,1,"2010-05-21",76.44,2.826,210.6170934,7.808,FALSE,14773.04,"Candy and Tobacco"
1,2,"2010-05-21",76.44,2.826,210.6170934,7.808,FALSE,44319.15,"Health and Beauty Aids"
1,3,"2010-05-21",76.44,2.826,210.6170934,7.808,FALSE,7813.91,"Stationery"
1,1,"2010-05-28",80.44,2.759,210.8967606,7.808,FALSE,15580.43,"Candy and Tobacco"
1,2,"2010-05-28",80.44,2.759,210.8967606,7.808,FALSE,44619.52,"Health and Beauty Aids"
1,3,"2010-05-28",80.44,2.759,210.8967606,7.808,FALSE,8412.69,"Stationery"
1,1,"2010-06-04",80.69,2.705,211.1764278,7.808,FALSE,17558.09,"Candy and Tobacco"
1,2,"2010-06-04",80.69,2.705,211.1764278,7.808,FALSE,48754.47,"Health and Beauty Aids"
1,3,"2010-06-04",80.69,2.705,211.1764278,7.808,FALSE,8001.41,"Stationery"
1,1,"2010-06-11",80.43,2.668,211.4560951,7.808,FALSE,16637.62,"Candy and Tobacco"
1,2,"2010-06-11",80.43,2.668,211.4560951,7.808,FALSE,47089.54,"Health and Beauty Aids"
1,3,"2010-06-11",80.43,2.668,211.4560951,7.808,FALSE,7742.75,"Stationery"
1,1,"2010-06-18",84.11,2.637,211.4537719,7.808,FALSE,16216.27,"Candy and Tobacco"
1,2,"2010-06-18",84.11,2.637,211.4537719,7.808,FALSE,44428.71,"Health and Beauty Aids"
1,3,"2010-06-18",84.11,2.637,211.4537719,7.808,FALSE,8201.06,"Stationery"
1,1,"2010-06-25",84.34,2.653,211.3386526,7.808,FALSE,16328.72,"Candy and Tobacco"
1,2,"2010-06-25",84.34,2.653,211.3386526,7.808,FALSE,45299.92,"Health and Beauty Aids"
1,3,"2010-06-25",84.34,2.653,211.3386526,7.808,FALSE,6591.22,"Stationery"
1,1,"2010-07-02",80.91,2.669,211.2235333,7.787,FALSE,16333.14,"Candy and Tobacco"
1,2,"2010-07-02",80.91,2.669,211.2235333,7.787,FALSE,47077.72,"Health and Beauty Aids"
1,3,"2010-07-02",80.91,2.669,211.2235333,7.787,FALSE,7857.88,"Stationery"
1,1,"2010-07-09",80.48,2.642,211.108414,7.787,FALSE,17688.76,"Candy and Tobacco"
1,2,"2010-07-09",80.48,2.642,211.108414,7.787,FALSE,46752.12,"Health and Beauty Aids"
